"region_id","region_name"
"X295","precentral gyrus, right, bank of the precentral sulcus"
"X296","precentral gyrus, right, inferior lateral aspect of gyrus"
"X297","precentral gyrus, right, superior lateral aspect of gyrus"
"X298","precuneus, left, inferior lateral bank of gyrus"
"X299","precuneus, left, superior lateral bank of gyrus"
"X300","precuneus, right, inferior lateral bank of gyrus"
"X301","precuneus, right, superior lateral bank of gyrus"
"X302","preoptic region, left"
"X303","preoptic region, right"
"X304","pretectal region"
"X305","principal sensory nucleus of trigeminal nerve, left"
"X306","principal sensory nucleus of trigeminal nerve, right"
"X307","putamen, left"
"X308","putamen, right"
"X309","raphe nuclei of medulla"
"X310","red nucleus, left"
"X311","red nucleus, right"
"X312","reticular nucleus of thalamus, left"
"X313","reticular nucleus of thalamus, right"
"X314","rostral group of intralaminar nuclei, left"
"X315","rostral group of intralaminar nuclei, right"
"X316","septal nuclei, left"
"X317","septal nuclei, right"
"X318","short insular gyri, left"
"X319","short insular gyri, right"
"X320","spinal trigeminal nucleus, left"
"X321","spinal trigeminal nucleus, right"
"X322","subcallosal cingulate gyrus, left"
"X323","subcallosal cingulate gyrus, right"
"X324","subcuneiform nucleus, left"
"X325","subcuneiform nucleus, right"
"X326","subiculum, left"
"X327","subiculum, right"
"X328","substantia innominata, left"
"X329","substantia innominata, right"
"X330","substantia nigra, pars compacta, left"
"X331","substantia nigra, pars compacta, right"
"X332","substantia nigra, pars reticulata, left"
"X333","substantia nigra, pars reticulata, right"
"X334","subthalamic nucleus, left"
"X335","subthalamic nucleus, right"
"X336","superior colliculus, left"
"X337","superior colliculus, right"
"X338","superior frontal gyrus, left"
"X339","superior frontal gyrus, left, lateral bank of gyrus"
"X340","superior frontal gyrus, left, medial bank of gyrus"
"X341","superior frontal gyrus, right, lateral bank of gyrus"
"X342","superior frontal gyrus, right, medial bank of gyrus"
"X343","superior occipital gyrus, left, inferior bank of gyrus"
"X344","superior occipital gyrus, left, superior bank of gyrus"
"X345","superior occipital gyrus, right, inferior bank of gyrus"
"X346","superior occipital gyrus, right, superior bank of gyrus"
"X347","superior olivary complex, left"
"X348","superior olivary complex, right"
"X349","superior parietal lobule, left, inferior bank of gyrus"
"X350","superior parietal lobule, left, superior bank of gyrus"
"X351","superior parietal lobule, right, inferior bank of gyrus"
"X352","superior parietal lobule, right, superior bank of gyrus"
"X353","superior rostral gyrus, left"
"X354","superior rostral gyrus, right"
"X355","superior temporal gyrus, left, inferior bank of gyrus"
"X356","superior temporal gyrus, left, lateral bank of gyrus"
"X357","superior temporal gyrus, right, inferior bank of gyrus"
"X358","superior temporal gyrus, right, lateral bank of gyrus"
"X359","supramammillary nucleus, left"
"X360","supramarginal gyrus, left, inferior bank of gyrus"
"X361","supramarginal gyrus, left, superior bank of gyrus"
"X362","supramarginal gyrus, right, inferior bank of gyrus"
"X363","supramarginal gyrus, right, superior bank of gyrus"
"X364","supraoptic nucleus, left"
"X365","supraoptic nucleus, right"
"X366","tail of caudate nucleus, left"
"X367","tail of caudate nucleus, right"
"X368","temporal pole, left, inferior aspect"
"X369","temporal pole, left, medial aspect"
"X370","temporal pole, left, superior aspect"
"X371","temporal pole, right, inferior aspect"
"X372","temporal pole, right, medial aspect"
"X373","temporal pole, right, superior aspect"
"X374","transverse gyri, left"
"X375","transverse gyri, right"
"X376","trochlear nucleus, left"
"X377","trochlear nucleus, right"
"X378","tuberomammillary nucleus, left"
"X379","V"
"X380","V, left, lateral hemisphere"
"X381","V, left, paravermis"
"X382","V, right, paravermis"
"X383","ventral tegmental area, left"
"X384","ventral tegmental area, right"
"X385","ventromedial hypothalamic nucleus, left"
"X386","ventromedial hypothalamic nucleus, right"
"X387","vestibular nuclei, left"
"X388","vestibular nuclei, right"
"X389","VI"
"X390","VI, left, lateral hemisphere"
"X391","VI, left, paravermis"
"X392","VI, right, lateral hemisphere"
"X393","VI, right, paravermis"
"X394","VIIAf"
"X395","VIIAt"
"X396","VIIB"
"X397","VIIB, left, lateral hemisphere"
"X398","VIIB, left, paravermis"
"X399","VIIB, right, lateral hemisphere"
"X400","VIIB, right, paravermis"
"X401","VIIIA"
"X402","VIIIA, left, lateral hemisphere"
"X403","VIIIA, left, paravermis"
"X404","VIIIA, right, lateral hemisphere"
"X405","VIIIA, right, paravermis"
"X406","VIIIB"
"X407","VIIIB, left, lateral hemisphere"
"X408","VIIIB, left, paravermis"
"X409","VIIIB, right, paravermis"
"X410","X"
"X411","X, left, lateral hemisphere"
"X412","X, left, paravermis"
"X413","zona incerta, left"
"X414","zona incerta, right"
